Line 1: KEYWORD -> begin_main
Line 3: KEYWORD -> constant
Line 3: KEYWORD -> integer
Line 3: IDENTIFIER -> MAX_ATTEMPTS
Line 3: PJ_PUNCTUATION -> ;
Line 5: KEYWORD -> integer
Line 5: IDENTIFIER -> count
Line 5: PJ_PUNCTUATION -> ;
Line 6: KEYWORD -> real
Line 6: IDENTIFIER -> total_score
Line 6: PJ_PUNCTUATION -> ;
Line 7: KEYWORD -> text
Line 7: IDENTIFIER -> user_name
Line 7: PJ_PUNCTUATION -> ;
Line 9: KEYWORD -> print
Line 9: PUNCTUATION -> (
Line 9: IDENTIFIER -> Welcome
Line 9: IDENTIFIER -> to
Line 9: IDENTIFIER -> the
Line 9: IDENTIFIER -> CoreLang
Line 9: IDENTIFIER -> test
Line 9: IDENTIFIER -> program
Line 9: PUNCTUATION -> )
Line 9: PJ_PUNCTUATION -> ;
Line 11: KEYWORD -> print
Line 11: PUNCTUATION -> (
Line 11: IDENTIFIER -> Please
Line 11: IDENTIFIER -> enter
Line 11: IDENTIFIER -> your
Line 11: IDENTIFIER -> name
Line 11: PUNCTUATION -> )
Line 11: PJ_PUNCTUATION -> ;
Line 12: KEYWORD -> read
Line 12: PUNCTUATION -> (
Line 12: IDENTIFIER -> user_name
Line 12: PUNCTUATION -> )
Line 12: PJ_PUNCTUATION -> ;
Line 14: KEYWORD -> print
Line 14: PUNCTUATION -> (
Line 14: IDENTIFIER -> Welcome
Line 14: PUNCTUATION -> )
Line 14: PJ_PUNCTUATION -> ;
Line 15: KEYWORD -> print
Line 15: PUNCTUATION -> (
Line 15: IDENTIFIER -> user_name
Line 15: PUNCTUATION -> )
Line 15: PJ_PUNCTUATION -> ;
Line 17: IDENTIFIER -> count
Line 17: OPERATOR -> :=
Line 17: PJ_PUNCTUATION -> ;
Line 18: IDENTIFIER -> total_score
Line 18: OPERATOR -> :=
Line 18: PJ_PUNCTUATION -> ;
Line 20: KEYWORD -> repeat_while
Line 20: PUNCTUATION -> (
Line 20: IDENTIFIER -> count
Line 20: OPERATOR -> <
Line 20: PUNCTUATION -> )
Line 21: KEYWORD -> print
Line 21: PUNCTUATION -> (
Line 21: IDENTIFIER -> Looping
Line 21: PUNCTUATION -> )
Line 21: PJ_PUNCTUATION -> ;
Line 22: IDENTIFIER -> count
Line 22: OPERATOR -> :=
Line 22: IDENTIFIER -> count
Line 22: OPERATOR -> +
Line 22: PJ_PUNCTUATION -> ;
Line 23: IDENTIFIER -> total_score
Line 23: OPERATOR -> :=
Line 23: IDENTIFIER -> total_score
Line 23: OPERATOR -> *
Line 23: PJ_PUNCTUATION -> ;
Line 26: KEYWORD -> if_cond
Line 26: PUNCTUATION -> (
Line 26: IDENTIFIER -> total_score
Line 26: OPERATOR -> <
Line 26: PUNCTUATION -> )
Line 27: KEYWORD -> print
Line 27: PUNCTUATION -> (
Line 27: IDENTIFIER -> Score
Line 27: IDENTIFIER -> is
Line 27: IDENTIFIER -> low
Line 27: PUNCTUATION -> )
Line 27: PJ_PUNCTUATION -> ;
Line 28: KEYWORD -> else_cond
Line 29: KEYWORD -> print
Line 29: PUNCTUATION -> (
Line 29: IDENTIFIER -> Score
Line 29: IDENTIFIER -> is
Line 29: IDENTIFIER -> high
Line 29: PUNCTUATION -> )
Line 29: PJ_PUNCTUATION -> ;
Line 31: KEYWORD -> print
Line 31: PUNCTUATION -> (
Line 31: IDENTIFIER -> This
Line 31: IDENTIFIER -> line
Line 31: IDENTIFIER -> has
Line 31: IDENTIFIER -> an
Line 31: IDENTIFIER -> error
Line 31: PUNCTUATION -> )
Line 31: PJ_PUNCTUATION -> ;
Line 33: KEYWORD -> print
Line 33: PUNCTUATION -> (
Line 33: IDENTIFIER -> Final
Line 33: IDENTIFIER -> score
Line 33: PUNCTUATION -> )
Line 33: PJ_PUNCTUATION -> ;
Line 34: KEYWORD -> print
Line 34: PUNCTUATION -> (
Line 34: IDENTIFIER -> total_score
Line 34: PUNCTUATION -> )
Line 34: PJ_PUNCTUATION -> ;
Line 36: KEYWORD -> end_main
